"Align_ID","Batch.A.01","Batch.A.02","Batch.A.03","Batch.A.04","Batch.A.05","Batch.A.06","Batch.A.07","Batch.A.08","Batch.A.09","Batch.A.10","Batch.A.11","Batch.A.12","Batch.A.13","Batch.A.14","Batch.A.15","mz","rt","Batch.B.01","Batch.B.02","Batch.B.03","Batch.B.04","Batch.B.05","Batch.B.06","Batch.B.07","Batch.B.08","Batch.B.09","Batch.B.10","Batch.B.11","Batch.B.12","Batch.B.13","Batch.B.14","Batch.B.15","mz","rt","Batch.C.01","Batch.C.02","Batch.C.03","Batch.C.04","Batch.C.05","Batch.C.06","Batch.C.07","Batch.C.08","Batch.C.09","Batch.C.10","Batch.C.11","Batch.C.12","Batch.C.13","Batch.C.14","Batch.C.15","mz","rt"
"Align_82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1568.040925,2771.79192,1210.914453,1973.650216,1653.092302,18860.46443,304.2499395,1958.680621,1073.351412,1508.472379,1486.170684,762.6669288,455.3524458,1358.720061,2181.080087,285.1852446,306.807002
"Align_83","2237.718104","4131.627881","10010.8743","3966.493658","12574.76068","4426.379957","18788.50978","1751.344179","3917.052754","1379.661919","5503.816476","4538.613105","868.4527087","3687.716554","6386.045742","449.1578088","275.1220131","4320.815188","2041.290025","11010.19819","8002.640149","678.6166371","6516.637278","8772.996331","3680.09076","2312.002835","3168.424202","4156.98221","3171.524625","4218.892118","9372.438933","1283.557434","449.1578088","275.1220131",4595.217456,4561.496415,3052.437434,4376.191316,6553.658155,10449.07074,824.821261,3428.970391,3135.906061,1471.401411,3938.83495,2486.026332,2946.361442,4062.261808,2055.851541,449.1578088,275.1220131
"Align_84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","342.0354226","9075.541633","6502.538882","1853.507638","8175.324763","11864.44089","11248.96788","10051.0147","502.0565453","2942.072151","2034.995444","654.2081301","710.9386344","302.8454307","1414.890276","124.0399459","107.9450026",749.8860479,18376.21088,5306.624252,2658.861492,4933.659092,427.5361007,2672.870989,18537.30463,1029.423794,1914.352615,771.0668395,315.6546047,277.4245776,10403.26981,856.4780659,124.0399459,107.9450026
"Align_85","2356.46365","6729.121549","8103.832793","2364.628454","3433.906692","18116.30001","5255.438044","10071.56353","9960.521578","304.5211405","4684.497619","1409.507887","517.489988","3925.57155","10735.84287","371.1668134","285.6095036","3197.314623","6073.879905","10924.49076","6002.185585","11539.71764","3724.375634","1734.576785","2901.841475","1618.800683","3450.309898","5562.980615","3604.311529","628.4746148","4135.188998","2290.980546","371.1668134","285.6095036",4976.581978,7545.430685,4812.895148,10231.3748,17088.84316,12802.45459,1517.544489,6856.066456,3670.598906,814.512697,6070.277403,2929.648347,2693.766315,1516.910664,3142.247588,371.1668134,285.6095036
"Align_86","876.1422661","4522.137194","3176.57623","1105.646611","9186.729648","7365.926438","2016.581385","356.3430411","789.1622716","1330.165608","5058.290026","414.1993512","1256.554973","8145.204328","1643.870771","391.1029792","210.1220058","528.5665903","3039.995775","958.7430393","2807.268058","2069.19276","5136.607935","910.3740048","4953.974195","370.275243","886.8269993","329.9220552","910.9787394","806.4190455","606.4497316","1336.782708","391.1029792","210.1220058",1109.700869,17767.03004,4627.856586,1006.740349,3370.706837,709.2467657,1256.994267,6041.752091,1487.551206,1381.346088,389.5162046,1001.317403,712.9014132,343.7953717,440.0354928,391.1029792,210.1220058
"Align_87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2701.383565","13728.25788","11322.15781","17434.93247","2663.825918","10098.17302","3080.388385","4825.482827","8234.507022","4775.890658","5462.127375","10540.82728","4559.251222","1834.740602","401.3460853","165.0548","49.06799878",7819.210665,6288.108141,7866.31741,3931.964676,1175.985955,5094.954969,5906.646306,4234.458215,1832.548934,7767.724251,8724.529908,3503.4813,4556.141933,5040.937728,8245.784017,165.0548,49.06799878
"Align_88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","932.1925716","7291.391157","4062.083157","3215.53377","3320.946669","10048.6997","2845.011566","5008.68052","831.0694877","1208.963345","1819.25369","1070.603115","838.3035747","892.0790509","1085.933903","122.0871901","49.02350032",3759.986828,16871.82359,4767.664543,2673.19796,4953.023934,1150.737104,5761.006281,12778.38773,1987.327543,2012.995428,3601.964907,1159.363063,1337.507013,10503.57345,1377.787386,122.0871901,49.02350032
"Align_89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3577.507983,9180.841509,1704.732132,4172.396426,16599.73187,803.5615492,1142.861399,4556.462415,1104.104858,648.9244181,4690.181028,619.9117032,1560.128803,3285.333863,1246.969145,289.1105955,246.0419937
"Align_90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11783.19415","9415.345785","9316.066128","7369.48618","8868.212468","10583.69083","14440.51191","12812.10079","12053.50273","14881.08015","8028.726506","7243.584985","10239.77817","8602.980433","8981.360184","81.52056365","574.6165049",6197.356094,11556.99278,9961.492433,11252.93999,13007.8875,14756.49458,9645.519721,6403.943441,5613.693881,8128.348036,8644.724651,5858.376977,6911.293747,16591.37497,10675.92738,81.52056365,574.6165049
"Align_91","16331.62773","6937.404392","10558.54327","4036.057172","10637.24881","5636.113627","6900.036094","3952.219717","5333.231303","7836.962783","3221.824161","13677.79787","7434.174923","8029.502991","7366.044427","397.0743001","167.6660024","6482.455131","11967.93141","8493.048883","12223.35774","10637.75453","12007.30514","4652.390681","5729.273728","3945.858091","7322.478178","11828.65446","7219.566589","3919.925401","4220.210761","4213.340463","397.0743001","167.6660024",4331.522402,4871.935284,6822.651553,6519.899744,9117.492904,13456.67509,8786.008849,5123.944675,13072.33553,7988.515503,6971.505441,8241.68596,5402.67001,6224.136359,3408.734649,397.0743001,167.6660024
"Align_92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2288.548832","7163.380549","8075.385825","3378.342985","4761.354289","6124.720293","3849.330189","4452.044349","1041.593843","1185.163627","2998.006493","1648.24458","2560.458664","2477.453081","2037.401911","199.1055152","102.3845025",3302.746913,15758.75511,3846.515852,5906.128326,6988.087239,2187.631893,1879.087306,4183.005164,798.1854704,1370.472436,3164.148777,1279.75204,1483.53513,12562.25151,2244.111552,199.1055152,102.3845025
"Align_93","831.3577209","542.4914491","1760.908008","3448.350697","8470.117506","15668.98308","2769.197383","598.4672314","2153.422304","206.215182","2162.999767","798.4718159","148.2838445","704.8827775","7170.563153","340.2488352","345.0900071","1724.696602","3140.234083","6486.79297","2916.262674","2111.011251","5589.459918","7755.444739","1626.448025","1612.45464","189.557091","515.2052577","1736.787517","1589.982872","1835.491092","143.6347574","340.2488352","345.0900071",2531.79521,2257.090616,448.6197225,3566.918507,6135.801634,4208.781222,915.7837524,1482.7411,216.3198749,242.4975866,5882.503591,624.9842428,571.0268071,2250.170963,1563.915624,340.2488352,345.0900071
"Align_94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","317.9221997","3326.557496","950.0397219","630.249196","402.166364","6328.980917","1508.460678","2630.233567","6163.169249","1533.225616","2878.322574","449.8391846","910.9755381","428.1374057","4392.403893","220.1219205","50.07699938",1044.5551,15655.24042,7706.002672,4870.961594,726.2871052,572.8352471,8096.528858,4114.484167,448.7803129,1252.05248,490.7111204,372.645074,303.4266226,8145.979406,362.7488274,220.1219205,50.07699938
"Align_95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","290.9952986","5724.381139","2984.375156","1433.958817","4849.225018","6722.967511","7931.930457","6147.4355","1103.840332","2653.373692","2490.247381","393.177482","490.404317","271.8255211","1431.417828","170.0437769","109.0820017",568.7758113,15170.25792,6294.812277,2863.994589,2727.741755,393.2279937,1304.177509,12253.96664,1046.915662,1658.381305,659.4968996,213.8794673,201.194235,7779.910872,1216.841831,170.0437769,109.0820017
"Align_96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3036.120118","2291.929803","15144.22003","3838.918122","4880.619539","467.1075284","11802.93078","2059.291857","1821.086297","1514.766287","4520.309048","929.5445655","2118.546068","7211.477046","1435.116903","222.0787023","80.92200181",4824.711022,3176.988984,1403.3391,4433.355288,13075.94777,2723.989958,1063.66587,3423.990035,1143.441724,983.4143474,2900.470812,2660.774944,3209.202913,12025.19508,1265.351749,222.0787023,80.92200181
"Align_97","714.940622","2361.659019","3380.012442","2289.220589","11393.26181","8486.224457","2379.512333","678.861388","2010.41492","422.593466","1946.738731","713.2256976","591.3871654","3446.333096","2452.286452","407.1302512","251.054008","976.9049941","5049.653696","15123.90288","1475.448269","1404.362294","2520.262396","930.8447258","2693.019718","1696.898606","711.974276","3151.370347","937.160816","753.3459309","1895.612424","336.5392204","407.1302512","251.054008",1688.964067,6124.91332,1281.24389,1206.632619,2276.046243,901.8139924,482.8799262,4834.00009,4252.730671,871.2317523,2213.426878,642.9833388,810.0109742,4553.280146,750.7597222,407.1302512,251.054008
"Align_98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10792.39001","14469.02644","10348.41167","11321.61664","13026.53469","15061.1081","10314.84914","10302.11702","11812.36429","10525.35223","12179.29118","12534.1352","8213.097553","10600.57648","9802.383275","130.9676505","581.9885032",12371.89861,12063.41186,12140.57448,10603.9704,10226.90084,10364.36211,14626.20415,13229.69999,12685.28889,13560.27424,9314.932061,11341.55431,11970.52557,10926.48884,10162.03954,130.9676505,581.9885032
"Align_99","10124.2016","5015.742405","8572.219451","1875.208206","14846.49658","5155.441492","8253.665939","2275.616744","3034.273988","5958.408143","5160.887468","8172.624393","5930.966246","7030.649525","5331.276303","576.1327146","166.9080034","6054.138832","8002.221545","4849.52402","8005.997306","9681.234978","7838.342025","3349.159344","3146.559939","2453.163973","7040.875866","7723.095368","4530.625704","3525.03271","3539.813393","4085.741297","576.1327146","166.9080034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Align_100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1610.132786","2950.006374","5706.146637","4151.999055","4936.101025","2264.930757","2064.360863","1152.522919","1284.911314","3797.882919","1181.845635","1486.958321","883.852705","2162.85555","2826.832617","193.0842208","280.3860072",4488.544621,1676.579871,1631.271849,5022.704238,14831.46634,6356.531256,763.8564051,4399.960795,2852.151968,813.8885549,955.2445281,2104.182867,1016.886228,2400.057109,4341.976547,193.0842208,280.3860072
"Align_101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4070.049803,5222.935146,2868.764304,14730.37568,14651.81742,4199.173153,1177.505753,8726.024661,5444.898399,1963.190491,5934.664046,2718.980529,7590.239178,2406.991708,1013.686411,267.094513,251.1420139
"Align_102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1354.018225","5556.52637","5986.934271","3037.470105","8516.721226","7682.463924","4741.844083","3518.711697","2489.164286","916.0415961","3962.49938","1949.485634","568.0075648","1240.538978","1576.082754","237.1220642","135.4590018",2821.499878,9282.755872,1882.522468,9692.564362,14052.16614,842.4349485,492.0373637,4878.827514,384.8223876,151.1163121,2518.50783,230.769461,707.8800901,1564.640523,1768.741251,237.1220642,135.4590018
"Align_103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3033.143412","5331.091062","4887.611067","3514.181446","4343.526522","6700.945383","5695.074763","2807.175286","2885.945412","2361.136281","3926.83753","3484.689729","2519.432838","4330.169444","3495.186033","112.0242707","27.49300023",5914.648131,9771.868418,4190.582605,7183.675928,5026.983247,13928.5321,4321.433331,4735.915658,2941.069259,3995.165615,6139.85498,2085.421799,2270.354555,6272.553259,2725.650065,112.0242707,27.49300023
"Align_104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2684.134821","3213.075981","12610.51493","4443.993657","5387.972135","9522.165282","7714.747905","4656.48761","4917.433994","2731.218485","3755.976165","4225.31242","471.2892562","2897.512083","801.8477912","129.0559258","130.3019958",2754.241998,9265.68354,1829.365767,5220.599887,13663.86659,1555.745719,1237.998884,8620.493867,581.8625848,776.8776744,3000.260771,656.4468859,3029.215951,5165.983261,1634.834082,129.0559258,130.3019958
"Align_105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1024.288971","2469.068504","5835.252053","781.9441756","1991.596342","2482.468475","13591.53796","1761.544289","1020.760118","1186.806988","2363.384094","788.2598723","937.1497922","782.6576868","2013.016988","163.0463199","151.1400039",1012.715599,4117.341335,1353.341444,1868.33724,3828.669693,1605.919665,719.7902108,2540.839728,514.1743975,1175.496088,1188.679506,667.9091418,1073.338503,1446.549609,809.3228414,163.0463199,151.1400039
"Align_106","2796.113644","5362.390044","6365.014586","11778.10675","10331.62492","4674.871299","11957.21494","3740.175461","5396.271879","1712.557911","7708.119403","2085.444985","5283.724545","4952.955811","8718.780216","455.2034003","300.6549952","3860.493989","9157.353369","13462.84749","6012.043263","9851.738703","12894.06383","3247.175759","2621.891539","5049.064562","3595.668835","10099.19552","5568.577491","4095.666317","4331.869688","2215.800237","455.2034003","300.6549952",5533.74098,11653.27043,4607.060847,13346.69901,9234.874277,3637.074193,983.520268,7718.126984,4023.561704,1699.366506,13361.90987,341.7277575,529.4600711,2014.23119,1923.18289,455.2034003,300.6549952
"Align_107","1373.030139","2528.86978","2381.718584","6968.685206","6903.967931","2267.373928","1808.742943","1165.461169","3683.37757","216.7442783","1153.322577","1351.422284","528.9746309","2277.805681","7768.191748","297.1718412","298.4129887","1715.895","8094.055862","6188.543379","4051.040622","9126.780954","7801.522501","2995.796323","1696.014894","2584.398967","607.5342613","4469.897026","2942.029794","1128.442871","2917.26653","612.6538451","297.1718412","298.4129887",4628.552683,13348.65641,2799.985673,8822.750731,6131.471451,1273.212208,585.1548715,2561.419964,1820.965004,414.3058606,3324.021547,1556.318061,1503.063281,1380.692914,1017.67224,297.1718412,298.4129887
"Align_108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1565.330333","5536.527426","13020.05809","4823.060201","5397.967305","6051.99387","3626.111966","4254.640556","3204.647417","1008.784738","3622.512953","2573.817444","1949.954079","6196.226631","746.6023108","125.0961281","276.7230045",4444.890022,2861.667618,2499.901658,3772.358816,10640.79473,4711.658325,1059.277227,3814.729296,2102.145418,958.7819978,3652.116177,1763.962813,3008.535799,6524.180843,1806.85539,125.0961281,276.7230045
"Align_109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2346.63901,1022.699082,2109.564198,1660.717689,13009.57833,2604.693161,2277.470636,2435.862016,1803.357059,1338.426857,1926.818114,2799.026654,1434.985754,789.4767621,1730.625279,259.0662242,162.2780034
"Align_110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9503.98722","8040.294336","12879.9495","6021.001048","5525.963252","10236.54826","9455.551494","6017.646317","6135.593475","2924.487193","6096.712333","4963.883708","1617.930144","4683.857089","2325.526063","139.0259357","38.36599952",7353.444227,9763.405391,7553.44126,7618.249725,12523.80705,5623.897559,11237.02752,5795.714266,7752.013778,1870.286,2019.67338,3218.302145,2128.119778,4793.450488,1599.035942,139.0259357,38.36599952
"Align_111","1753.712823","3863.998412","3105.424546","6697.893256","7366.847138","780.6578757","1581.713388","1445.36981","1527.372636","102.2549582","2479.751859","886.4148308","1330.543132","3224.766035","11904.50964","403.1565756","241.1689948","1804.811782","3584.537557","7512.934821","5833.845953","4226.129525","7097.742646","4193.266975","1505.486895","2018.505117","1748.516514","4355.824032","1922.528203","295.3120994","5715.902593","1372.801318","403.1565756","241.1689948",4845.882597,7063.789095,1993.429642,12519.72151,7777.116726,1319.408726,555.9077682,1384.673146,232.1020751,1714.840163,5620.874761,682.4474738,368.2263546,1432.725369,3114.577733,403.1565756,241.1689948
"Align_112","554.6501183","1228.396569","3001.970244","1360.734544","4952.626241","173.5210781","1228.163675","470.9698528","412.3394576","1415.611384","5820.68627","4142.371575","590.889243","1718.914396","1775.599959","470.2834367","350.7579902","1174.138432","2399.462425","4749.931156","9720.064042","3162.84249","8283.926968","794.1490697","1113.844314","437.082628","195.2568476","973.2837279","3663.083044","1617.609951","2986.291245","316.6581456","470.2834367","350.7579902",821.9741245,2245.11458,3538.729354,7229.565081,12451.00729,569.2467522,483.6477856,870.9227809,276.3513888,229.618668,512.689261,651.2854778,3716.401319,5657.116949,898.9212283,470.2834367,350.7579902
"Align_113","3403.299423","3492.559456","11751.54419","6376.949565","12381.69446","2886.962872","3730.149651","6807.274727","3784.377713","762.7153351","4371.261136","3477.401989","1531.659625","3444.927272","4325.867477","483.1487847","268.2540109","4884.384893","6592.551381","9026.322459","5475.846975","8224.077032","9254.356027","7681.548334","4780.695468","4072.61494","2416.086523","10743.1128","3879.403125","2158.116226","7930.926346","1305.159763","483.1487847","268.2540109",5515.84347,5362.762827,2167.125051,7948.980433,6623.735179,3032.094662,848.101457,5068.817042,1337.626811,1166.370244,6433.430785,2052.899707,3520.802035,7683.284696,3271.214434,483.1487847,268.2540109
"Align_114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3557.35424,4393.654002,4476.800495,12319.2653,9585.597564,6292.333741,1221.809267,5891.48307,1257.378178,909.589459,5295.782069,1624.151522,3238.768427,4793.267086,2943.804049,247.1277838,98.89199792
"Align_115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5518.874225,1508.351641,512.0989376,5267.199058,12290.35101,7473.303678,721.114389,5353.394833,1846.77137,1770.009908,1644.569028,3660.129436,3300.690153,9971.60747,1065.384891,272.1829461,232.2145004
"Align_116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2079.696011","3983.558854","8621.759197","4284.774549","4414.672426","8866.151104","3226.804545","2828.684329","2941.813765","1928.776373","6703.547578","2733.645275","2042.003485","2087.091109","2191.554207","223.1530653","307.805",4741.699436,12287.55714,5137.970899,10434.1975,10697.99961,1300.59739,1146.249296,1709.082112,377.564899,1676.781146,5891.44154,545.7955005,1570.104797,1825.623342,2461.021266,223.1530653,307.805
"Align_117","812.9981657","425.719007","1679.093553","5354.355808","5392.063912","2681.989272","1299.597611","4709.974619","1368.929823","353.0612591","1284.967258","534.0299763","789.9265483","1912.645123","8166.032909","327.1870086","317.0909992","2401.87371","2842.495809","11511.11979","5533.733989","5262.522959","1455.218883","2332.923047","1242.575825","1656.199301","150.5595448","1583.258901","1194.039626","1108.328","1637.14621","1287.323017","327.1870086","317.0909992",1151.061399,1347.319323,312.7047096,2948.072818,4670.171618,5399.839949,208.4233405,1469.766595,1470.790473,874.1463036,1142.310973,519.9110536,1128.975059,2254.973602,616.6520829,327.1870086,317.0909992
"Align_118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4053.574405,9217.018799,1502.352795,9446.127963,11464.4916,4059.635528,753.265159,5347.052995,724.3751725,711.6016389,7344.867409,2530.045603,1588.806177,4762.301486,1830.209155,263.1235894,188.2464973
"Align_119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6084.259015","5890.508751","8121.411731","3227.951096","8520.54588","10280.80753","11364.5131","5422.758993","6186.061141","5609.291488","5151.051839","392.6904272","4033.063113","3864.250653","6045.35475","82.01514653","22.1460001",4111.591738,9475.298676,5232.664824,4357.974093,10343.2326,9963.247948,6034.464929,4857.703928,339.5496675,6473.303281,4116.946901,2475.817737,4260.15898,7376.886857,6533.952103,82.01514653,22.1460001
"Align_120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","824.9303098","4119.344979","9863.235404","3529.838322","4424.111208","3284.669646","10707.80909","1564.526546","1430.759777","2533.015936","2156.251431","1976.106165","841.9132386","367.522539","3270.429913","122.0321617","131.4409973",1323.009298,11350.99658,527.9230024,7049.617357,5846.731961,2483.845528,704.1007346,1935.930023,2289.364975,1793.856735,3161.481384,1451.016977,2752.913352,3468.124976,1134.190977,122.0321617,131.4409973
"Align_121","3780.050802","4690.915729","7087.086548","8170.904367","11328.59068","3653.603307","6954.94655","1826.966745","7522.593737","556.6306602","5583.912529","2518.934303","1387.370507","3424.714239","11213.51361","332.2122824","304.9790019","4354.580129","6621.515254","9067.154784","5304.832163","6020.276511","10219.02152","8517.932603","5274.222306","8796.933639","2571.566134","6072.063094","7598.544755","3228.497733","6791.2079","2503.704399","332.2122824","304.9790019",8205.762546,7283.754904,3500.216379,8249.246033,9398.216972,5567.330626,1809.557863,5000.163524,2658.317269,1198.774116,6798.858366,10182.92853,6449.288041,3817.717559,2642.18576,332.2122824,304.9790019
"Align_122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5270.794162","1629.528767","4683.978743","5303.149592","1796.480087","10418.86587","9112.49251","4740.268998","3281.667832","577.8775024","3236.659817","486.514898","1840.306133","9022.252118","1240.119732","237.0758732","213.5329995",11304.22598,4823.128161,2466.617605,4242.741364,9699.729654,5708.87384,917.1225847,4370.360839,774.0839335,1750.842312,6213.394338,4762.942345,2866.710547,4935.988006,2147.471844,237.0758732,213.5329995
"Align_123","6727.507549","2217.934199","468.2846281","223.5678653","357.5437471","10069.82252","5897.422251","1612.367631","559.0100586","406.8245596","192.5353564","192.7969683","428.2311875","300.7013166","1636.568466","553.2937813","344.7319989","3180.106881","3627.571449","4201.256233","2291.799079","4728.199806","8505.078005","11034.648","401.1326482","2062.173861","130.1164177","2699.943651","1703.4862","5709.602303","1090.894552","154.803441","553.2937813","344.7319989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Align_124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7347.450531","5224.179503","10859.13516","4750.093493","5806.712639","6673.561903","9367.959708","4127.140199","5283.206265","3591.972406","3965.42679","759.6043417","165.9623904","3024.879385","3699.588613","111.0117468","27.01099932",4934.565759,8768.730832,6511.431867,5341.003563,8803.974443,6842.982233,9253.748496,335.0724551,4454.883603,3378.716658,4276.776879,2988.88264,2757.81056,3638.471958,822.3009134,111.0117468,27.01099932
"Align_125","726.3698704","2805.678386","3594.305872","1430.200869","2979.008443","441.3274766","10352.5194","6234.722286","2836.133498","674.3779807","3561.978121","1297.955447","1190.655277","1127.174111","4207.857571","466.2358757","313.9749881","1159.473115","3097.031035","6480.554708","5974.779462","4468.403124","5339.211596","3269.417843","930.2928783","1819.619426","660.3209026","3016.690698","2231.275425","1512.083407","3281.00972","912.1565206","466.2358757","313.9749881",1089.059402,2696.95268,1030.492257,6652.348488,8172.419979,3597.506091,311.1134111,4316.638207,1104.778914,1100.998469,1359.192346,605.7469877,2753.042855,4887.154262,308.5258398,466.2358757,313.9749881
"Align_126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3181.147313,3376.806235,2653.656476,4659.211824,10280.08717,3619.815919,709.3221534,4092.186572,861.0412208,374.3745139,2638.598432,925.3823509,2017.326302,10059.02749,1724.039468,274.1863569,338.4515057
"Align_127","1971.177926","3239.819706","5611.233887","1859.145991","7064.485743","2451.152731","4235.900612","2669.153682","5630.057504","1099.98302","3160.867032","2309.766359","1176.518439","2930.647407","3157.342572","344.0605504","51.28900172","3470.333885","2584.05922","9653.695251","9621.640441","5791.62932","4817.952429","4612.835314","3548.583756","3529.116221","1983.86564","5493.499925","3968.31011","1173.009693","1640.411297","2220.969806","344.0605504","51.28900172",5455.445332,6333.430587,3764.206195,3662.458443,10209.94123,3250.296123,3361.142218,5778.445875,1848.177779,815.0339217,7663.23014,2511.529551,3991.739426,2682.443801,2650.733235,344.0605504,51.28900172
"Align_128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3533.593989,7901.277756,1791.102117,2745.226217,2895.857944,10181.82652,2356.825606,6043.901814,1096.035203,259.1298805,9074.978111,2521.767208,2694.935773,8068.581209,2389.131851,260.1499706,79.14549837
"Align_129","2247.987625","6366.197949","1693.73892","4109.778217","3223.088039","743.9460638","2016.872607","571.8765623","2110.408574","1805.45213","1456.63828","907.2804526","5146.727636","2281.53153","2272.270502","459.2224863","327.1800039","2720.558377","9485.543011","4597.374404","5305.905521","1670.220843","3854.485242","2311.93413","578.9251589","1148.289293","384.8717092","5963.026242","1758.832296","1140.336031","547.0150617","730.0681373","459.2224863","327.1800039",5319.518625,10152.2809,1369.669865,4609.241302,7069.207372,5826.701436,350.4865003,996.0814808,459.7104073,710.3599373,3342.823764,285.2501673,1969.387357,2242.24949,1187.255109,459.2224863,327.1800039
"Align_130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","121.9915099","1147.530841","791.655574","9954.055621","1870.130432","2255.092168","1982.622609","1793.852381","186.7047999","1312.481524","443.1371898","160.0382935","76.76108558","68.99695724","213.1058352","193.0344897","109.0439999",978.869866,3560.042231,1034.084799,600.0360554,818.8605356,269.7304044,777.0994086,3459.377733,282.8226462,1136.202203,6460.17785,149.0005916,73.14734457,1615.360376,234.6245706,193.0344897,109.0439999
"Align_131","793.2677883","5482.830873","8148.562123","5529.87974","7293.936055","3748.456331","3741.829351","5743.661212","6140.452146","487.3641513","3264.499296","1640.705756","806.343158","1936.034177","4102.232901","383.1315698","231.6160042","3792.446161","5492.095752","9898.531069","3779.658296","4108.372752","9570.263014","3721.356449","1396.758096","5360.847515","1909.221886","4782.062061","2670.184628","1798.281877","4888.931606","1781.069071","383.1315698","231.6160042",2658.379954,2496.773208,1059.45556,801.756614,9582.117442,3958.314295,645.4250774,3362.11446,1529.59555,637.837113,2902.741315,1277.166308,715.8927695,4667.558141,1788.64937,383.1315698,231.6160042
"Align_132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5838.906159,6393.582367,4183.29842,9772.226331,5501.716802,7266.236277,3076.212894,5556.311278,2095.755367,2077.435108,9890.565806,6203.59833,4032.685379,6095.157097,4301.89258,262.0948509,52.10000093
"Align_133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1495.758025","7216.271378","5144.801338","2772.736881","852.962972","9854.505303","4256.649265","6196.747365","1561.52268","1431.447344","2361.768531","2911.310136","2157.091251","1230.974652","422.3955894","206.0463113","144.015002",1348.124817,5039.651816,1670.083353,2729.378705,5303.690219,568.4542061,1193.462483,6955.326526,750.7228099,1420.617727,2357.701532,916.6157236,1344.301555,3148.985297,2553.945429,206.0463113,144.015002
"Align_134","507.6861966","1052.906497","1266.321986","1933.715483","1510.68474","2710.284897","833.247296","2175.903756","1742.985147","207.1431494","300.7124738","756.7787209","2062.680379","638.60566","2660.416728","409.1529738","342.9859893","1023.421552","4156.942789","9812.324394","4786.199259","2160.253753","401.8223928","1368.331517","1212.459444","906.869434","303.7184653","960.9065996","925.2331812","610.4662508","2309.668196","505.8492897","409.1529738","342.9859893",1719.241998,1275.172976,474.3872653,1555.936363,2763.097462,1331.839429,272.4487899,911.1910766,681.1458197,712.1016619,1219.284018,745.5553498,1130.188588,1599.808088,801.5794288,409.1529738,342.9859893
"Align_135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2325.085988,6385.290781,1495.798899,4043.261106,9734.418506,5292.091313,1491.580499,4655.384887,1737.706752,409.1055918,3035.091757,3786.493827,3251.932257,6624.052283,3809.652079,255.2013432,342.6379986
