"Align_ID","Batch.A.01","Batch.A.02","Batch.A.03","Batch.A.04","Batch.A.05","Batch.A.06","Batch.A.07","Batch.A.08","Batch.A.09","Batch.A.10","Batch.A.11","Batch.A.12","Batch.A.13","Batch.A.14","Batch.A.15","mz","rt","Batch.B.01","Batch.B.02","Batch.B.03","Batch.B.04","Batch.B.05","Batch.B.06","Batch.B.07","Batch.B.08","Batch.B.09","Batch.B.10","Batch.B.11","Batch.B.12","Batch.B.13","Batch.B.14","Batch.B.15","mz","rt","Batch.C.01","Batch.C.02","Batch.C.03","Batch.C.04","Batch.C.05","Batch.C.06","Batch.C.07","Batch.C.08","Batch.C.09","Batch.C.10","Batch.C.11","Batch.C.12","Batch.C.13","Batch.C.14","Batch.C.15","mz","rt"
"Align_12","5563.952001","10225.64194","29539.68624","61924.67832","91425.8679","29311.72165","22958.48202","21957.72155","12578.16881","1520.994123","12425.78329","12796.95438","554.4686236","13631.55665","19083.30928","358.2604942","335.5695037","21794.48223","22233.2468","107594.7048","18622.55929","26973.25881","21683.21442","23252.15807","9998.519545","7066.017233","1940.807787","18227.68823","11382.09061","5569.644196","16249.3956","1253.422404","358.2604942","335.5695037",14755.24593,32391.47733,5696.777946,55278.12812,33253.45893,16359.35575,1475.692944,13156.86669,2883.394073,2393.086942,34505.1947,3481.267797,9589.304511,54527.34284,5122.189753,358.2604942,335.5695037
"Align_13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6658.657","42713.84439","105782.1545","63844.33392","24680.43004","3649.319962","54578.19388","3314.296717","5014.68437","10884.11956","10257.42007","6568.63094","2182.842524","28104.35306","42677.97592","174.1244981","68.79499838",10309.48681,45535.0704,3161.081425,7370.443422,61952.30092,17539.045,12930.35367,17974.43199,17283.75299,8377.201552,23146.45861,33879.02328,60788.45076,10346.43736,8224.221055,174.1244981,68.79499838
"Align_14","402.8444024","3517.557419","19184.75197","848.4901281","8773.088951","3359.765855","1938.058803","2109.715038","2909.079379","13719.35004","1419.493784","2348.611738","990.6779001","2282.845962","4457.959997","421.1599299","201.5060021","1293.566739","4905.825439","13413.11499","5451.143087","2135.03222","6540.718433","10027.31472","731.614338","464.2247842","77520.84567","98630.32969","379.5760166","81165.29329","5056.351108","2092.83725","421.1599299","201.5060021",3103.894671,797.4292394,400.5899305,6396.928846,5598.317879,3846.550227,1030.01264,3721.936032,4352.227692,1275.760204,35081.86646,2213.168249,37086.25179,656.5150083,414.5900945,421.1599299,201.5060021
"Align_15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7031.481914","35624.90289","89033.68748","28650.47053","42748.50382","29589.72057","98436.85902","11072.51498","16525.61089","24883.75519","24397.1686","16165.76201","7276.798654","11911.63581","37787.99699","121.0297646","125.9855013",11122.45135,98154.66016,3678.123775,80713.51254,40015.81462,26081.5816,5699.965245,22295.77686,20128.37319,18451.68968,31067.05813,15122.02016,29255.86757,25276.15746,7665.453957,121.0297646,125.9855013
"Align_16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21062.22049","22425.71506","19724.31265","35623.90501","33203.18422","24481.44349","21287.36595","23008.12997","25808.86805","20715.73706","35040.40717","98432.48394","31585.21739","50940.63993","32684.0918","103.9578083","568.0300136",35091.74132,26448.93543,31166.22817,42844.17056,23300.31613,23669.74416,23106.44962,32760.76498,38352.09998,32826.36589,47328.91993,37460.78066,36158.73833,23016.15608,20171.74742,103.9578083,568.0300136
"Align_17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12012.34339","18863.06689","41085.0954","23882.34717","26142.87152","18873.63007","12167.75785","7129.63704","8602.573954","17984.01474","13759.10131","8485.587","12262.9294","16776.3584","12921.4959","180.0658871","168.5460026",4062.839307,9579.929482,10657.27914,93286.76957,23259.40535,87707.19508,6632.966954,8252.057486,16618.68733,7078.341095,14006.71609,7238.678604,1851.251992,15619.56769,2785.788667,180.0658871,168.5460026
"Align_18","919.5809551","2226.520995","11619.12544","2341.601817","6515.489109","5571.469641","1580.291732","3609.904952","1857.66947","26834.88644","1405.526676","4574.261313","1558.181739","2086.22076","5517.591114","333.1050368","171.1439996","2062.324673","5291.444897","20606.52155","5527.26247","2422.62657","6570.2527","13382.60762","1011.350489","2190.529498","50626.77813","92467.97802","827.7921237","77056.11946","3593.794145","626.8670532","333.1050368","171.1439996",2935.671666,809.4044435,830.6365563,5613.384623,6257.489935,3786.747579,1108.905888,1341.224893,6672.013688,997.5094048,27429.70656,2319.360243,52112.8754,1241.121675,383.3998543,333.1050368,171.1439996
"Align_19","9368.716547","25808.72267","38886.88066","41564.6949","91327.82455","53505.38705","22058.60497","14839.23852","32660.53254","4575.771049","26987.10687","5652.599181","9881.439225","28579.46192","26185.48987","300.2174292","308.9679999","21046.66524","27539.9228","91081.48273","51334.36381","26528.93418","57359.77283","35850.47596","22327.17429","25757.34616","5992.959573","40060.74022","41312.74236","26302.09006","53009.23508","2578.75133","300.2174292","308.9679999",29150.47565,44563.54416,7136.925699,49673.08503,55486.81853,35326.29879,6014.592015,20496.69839,19511.58476,9043.202025,53389.74881,6794.764928,20363.60791,55155.62299,10589.30336,300.2174292,308.9679999
"Align_20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15853.83423","63669.84581","86864.2317","53386.35643","36274.97698","88132.92338","83612.18114","31627.21596","30301.65241","26618.69971","55954.37385","38322.49678","13251.09529","32352.80568","5990.18384","120.0781011","103.959998",28683.43111,25009.72488,20339.07323,30580.52535,77028.43774,33384.8635,13670.75998,40854.60446,10420.97029,10500.14837,34597.28721,28549.19188,18207.18677,31485.17908,11833.26034,120.0781011,103.959998
"Align_21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84765.68179","49325.43852","84769.82456","74518.37547","48357.39918","49574.71398","44127.53606","25481.08402","29168.16002","20037.03969","6247.95392","15760.46891","5544.659001","7976.048278","7645.208814","215.0160968","40.51499911",56619.61731,76608.8938,72678.96312,84787.32953,61825.73742,49595.34347,74838.71456,27615.73774,29783.82207,8603.567601,22674.76361,22301.76093,28428.74151,16451.18391,6400.14314,215.0160968,40.51499911
