name,Batch-C-01,Batch-C-02,Batch-C-03,Batch-C-04,Batch-C-05,Batch-C-06,Batch-C-07,Batch-C-08,Batch-C-09,Batch-C-10,Batch-C-11,Batch-C-12,Batch-C-13,Batch-C-14,Batch-C-15,mz,rt
C_192,1568.040925,2771.79192,1210.914453,1973.650216,1653.092302,18860.46443,304.2499395,1958.680621,1073.351412,1508.472379,1486.170684,762.6669288,455.3524458,1358.720061,2181.080087,285.1852446,306.807002
C_193,1347.659769,1548.182217,1605.463731,1033.781441,2408.873913,2869.410274,2363.438082,1618.94445,1191.522497,2212.673283,450.8026176,1652.474348,2245.454471,2635.008393,3465.890742,288.9243434,570.960985
C_194,3577.507983,9180.841509,1704.732132,4172.396426,16599.73187,803.5615492,1142.861399,4556.462415,1104.104858,648.9244181,4690.181028,619.9117032,1560.128803,3285.333863,1246.969145,289.1105955,246.0419937
C_195,434.6304277,364.6590239,347.3864701,673.4766963,369.4886367,419.1516283,400.1798341,359.6350737,562.4578579,405.1049216,790.8657545,569.2155062,475.7161774,387.5329301,387.8380772,289.8953723,573.2769989
C_196,771.8845176,3382.059998,1381.096549,2176.473782,2446.777789,2263.842195,529.5188767,1947.228562,246.2572573,585.458837,4206.609033,636.6056902,1008.312748,3598.295067,702.2795633,290.1251596,310.114994
C_197,664.5709373,325.4878664,664.3989739,623.4053591,1084.510556,403.5024881,519.3818211,529.1579631,572.2576945,341.9883738,335.7588359,375.0943586,593.9260481,307.6366992,378.8139954,290.9616211,34.98900035
C_198,2757.141733,1611.463473,1043.433529,3195.820246,4284.919701,1901.868568,428.527918,2956.477178,663.8317805,490.0457851,5748.194925,3080.989873,1301.275723,3631.262161,827.4011535,291.128934,235.4114983
C_199,3615.517631,4305.678514,4459.994088,3783.54086,5952.965433,3277.514226,655.9995071,2357.31531,956.2138854,909.1511756,4564.89279,1886.19546,677.5183911,5655.244532,1429.180235,291.122088,310.988
C_200,634.4113399,570.8432065,571.566046,511.2775185,570.381216,716.1157283,705.6772658,617.3168153,2386.063678,2516.384957,941.6086037,2378.22087,661.1900699,519.4021529,662.8761536,293.8592057,579.9950038
C_201,1216.187083,802.570582,1007.940814,1937.80107,777.9512739,3833.099212,251.2170833,1227.653591,265.6235851,221.6057719,542.6903844,1356.041895,1385.07251,1984.920601,1048.009115,296.1394915,322.9319875
